"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 19 06:24:38 GMT 2023","Sun Mar 19 06:24:45 GMT 2023","6867","tests","Тесты корзины","TestCart","","","Test Case 12: Добавление товара в корзину",""
"passed","Sun Mar 19 06:26:16 GMT 2023","Sun Mar 19 06:26:20 GMT 2023","3378","tests","Тесты регистрации/авторизации пользователя входа/выхода из системы","TestUser","","","Test Case 4: Выход пользователя из системы",""
"passed","Sun Mar 19 06:25:03 GMT 2023","Sun Mar 19 06:25:12 GMT 2023","8661","tests","Тесты на покупку товара","TestOrder","","","Test Case 14: Разместить заказ: зарегистрироваться во время оформления заказа",""
"passed","Sun Mar 19 06:25:01 GMT 2023","Sun Mar 19 06:25:03 GMT 2023","1490","tests","Общие тесты","TestCommon","","","Test Case 11: Проверка подписки на странице корзины",""
"passed","Sun Mar 19 06:24:45 GMT 2023","Sun Mar 19 06:24:48 GMT 2023","2523","tests","Тесты корзины","TestCart","","","Test Case 13: Проверка количества товара в корзине",""
"passed","Sun Mar 19 06:26:02 GMT 2023","Sun Mar 19 06:26:09 GMT 2023","6829","tests","Тесты регистрации/авторизации пользователя входа/выхода из системы","TestUser","","","Test Case 1: Регистрация пользователя",""
"passed","Sun Mar 19 06:25:59 GMT 2023","Sun Mar 19 06:26:02 GMT 2023","2573","tests","Тесты на товары","TestProduct","","","Test Case 19: Просмотр и корзина продуктов бренда","
        1. Запустите браузер
        2. Перейдите по URL-адресу 'http://automationexercise.com '
        3. Нажмите на кнопку ""Продукты"".
        4. Убедитесь, что бренды видны на левой боковой панели
        5. Нажмите на любое фирменное наименование
        6. Убедитесь, что пользователь переходит на страницу бренда и отображаются продукты бренда
        7. На левой боковой панели нажмите на любую другую ссылку бренда
        8. Убедитесь, что пользователь перешел на эту страницу бренда и может видеть товары
        "
"passed","Sun Mar 19 06:25:28 GMT 2023","Sun Mar 19 06:25:32 GMT 2023","4295","tests","Тесты на покупку товара","TestOrder","","","Test Case 23: Проверка сведений об адресе на странице оформления заказа","""
        1. Запустите браузер
        2. Перейдите по URL-адресу 'http://automationexercise.com '
        3. Убедитесь, что домашняя страница видна успешно
        4. Нажмите кнопку ""Регистрация / вход""
        5. Заполните все детали в регистрации и создать учетную запись
        6. Подтвердите ""УЧЕТНАЯ ЗАПИСЬ СОЗДАНА!"" и нажмите кнопку ""Продолжить""
        7. Проверьте ""Logged in as username"" вверху
        8. Добавить товары в корзину
        9. Нажмите кнопку ""Корзина""
        10. Убедитесь, что отображается страница корзины
        11. Нажмите кнопку Перейти к оформлению заказа
        12. Убедитесь, что адрес доставки совпадает с адресом, заполненным при регистрации аккаунта
        13. Убедитесь, что платежный адрес совпадает с адресом, заполненным при регистрации аккаунта
        14. Нажмите кнопку ""Удалить учетную запись""
        15. Подтвердите ""УЧЕТНАЯ ЗАПИСЬ УДАЛЕНА!"" и нажмите кнопку ""Продолжить""
        "
"passed","Sun Mar 19 06:25:51 GMT 2023","Sun Mar 19 06:25:56 GMT 2023","5145","tests","Тесты на товары","TestProduct","","","Test Case 20: Поиск товаров и проверка корзины после входа в систему","
        1. Запустите браузер
        2. Перейдите по URL-адресу 'http://automationexercise.com '
        3. Нажмите на кнопку ""Продукты"".
        4. Убедитесь, что пользователь успешно перешел на страницу ""ВСЕ ПРОДУКТЫ"".
        5. Введите название продукта в поле ввода поиска и нажмите кнопку поиска
        6. Убедитесь, что ""ИСКОМЫЕ ПРОДУКТЫ"" видны.
        7. Убедитесь, что все продукты, связанные с поиском, видны
        8. Добавьте эти товары в корзину
        9. Нажмите кнопку ""Корзина"" и убедитесь, что товары видны в корзине
        10. Нажмите кнопку ""Регистрация / Вход"" и отправьте регистрационные данные
        11. Снова перейдите на страницу Корзины
        12. Убедитесь, что эти продукты также видны в корзине после входа в систему
        "
"passed","Sun Mar 19 06:25:45 GMT 2023","Sun Mar 19 06:25:47 GMT 2023","2216","tests","Тесты на товары","TestProduct","","","Test Case 9: Поиск продукта","
        1. Запустите браузер
        2. Перейдите по URL-адресу 'http://automationexercise.com '
        3. Убедитесь, что домашняя страница видна успешно
        4. Нажмите на кнопку ""Продукты""
        5. Убедитесь, что пользователь успешно перешел на страницу ВСЕХ ПРОДУКТОВ
        6. Введите название продукта в поле ввода поиска и нажмите кнопку поиска
        7. Убедитесь, что ""ИСКОМЫЕ ПРОДУКТЫ"" видны
        8. Убедитесь, что все продукты, связанные с поиском, видны
        "
"passed","Sun Mar 19 06:25:33 GMT 2023","Sun Mar 19 06:25:42 GMT 2023","9193","tests","Тесты на покупку товара","TestOrder","","","Test Case 24: Загрузка счета-фактуры после заказа на покупку","""
        1. Запустите браузер
        2. Перейдите по URL-адресу 'http://automationexercise.com '
        3. Убедитесь, что домашняя страница видна успешно
        4. Добавить товары в корзину
        5. Нажмите кнопку ""Корзина""
        6. Убедитесь, что отображается страница корзины
        7. Нажмите Перейти к оформлению заказа
        8. Нажмите кнопку ""Зарегистрироваться / войти""
        9. Заполните все данные в регистрации и создайте учетную запись
        10. Подтвердите ""УЧЕТНАЯ ЗАПИСЬ СОЗДАНА!"" и нажмите кнопку ""Продолжить""
        11. Проверьте ""Logged in as username"" вверху
        12.Нажмите кнопку ""Корзина""
        13. Нажмите кнопку ""Перейти к оформлению заказа""
        14. Проверьте данные адреса и просмотрите свой заказ
        15. Введите описание в текстовую область комментария и нажмите ""Оформить заказ""
        16. Введите платежные реквизиты: имя на карте, номер карты, CVC, срок годности
        17. Нажмите кнопку ""Оплатить и подтвердить заказ""
        18. Проверьте сообщение об успехе ""Ваш заказ успешно размещен!""
        19. Нажмите кнопку ""Загрузить счет"" и убедитесь, что счет успешно загружен.
        20. Нажмите кнопку ""Продолжить""
        21. Нажмите кнопку ""Удалить учетную запись""
        22. Подтвердите ""УЧЕТНАЯ ЗАПИСЬ УДАЛЕНА!"" и нажмите кнопку ""Продолжить""
        "
"passed","Sun Mar 19 06:24:55 GMT 2023","Sun Mar 19 06:24:57 GMT 2023","2186","tests","Общие тесты","TestCommon","","","Test Case 6: Форма обратной связи",""
"passed","Sun Mar 19 06:25:21 GMT 2023","Sun Mar 19 06:25:28 GMT 2023","6151","tests","Тесты на покупку товара","TestOrder","","","Test Case 16: Разместить заказ: войти перед оформлением заказа","""
        1. Запустите браузер
        2. Перейдите по URL-адресу 'http://automationexercise.com '
        3. Убедитесь, что домашняя страница видна успешно
        4. Нажмите кнопку ""Регистрация / вход""
        5. Заполните адрес электронной почты, пароль и нажмите кнопку ""Войти""
        6. Проверьте ""Logged in as username"" вверху
        7. Добавить товары в корзину
        8. Нажмите кнопку ""Корзина""
        9. Убедитесь, что отображается страница корзины
        10. Нажмите Перейти к оформлению заказа
        11. Проверьте детали адреса и просмотрите свой заказ
        12. Введите описание в текстовую область комментария и нажмите ""Оформить заказ""
        13. Введите платежные реквизиты: имя на карте, номер карты, CVC, срок годности
        14. Нажмите кнопку ""Оплатить и подтвердить заказ""
        15. Проверьте сообщение об успехе ""Ваш заказ успешно размещен!""
        16. Нажмите кнопку ""Удалить учетную запись""
        17. Подтвердите ""УЧЕТНАЯ ЗАПИСЬ УДАЛЕНА!"" и нажмите кнопку ""Продолжить""
        "
"passed","Sun Mar 19 06:26:10 GMT 2023","Sun Mar 19 06:26:13 GMT 2023","2518","tests","Тесты регистрации/авторизации пользователя входа/выхода из системы","TestUser","","","Test Case 2: Авторизация пользователя с корректными учетными данными",""
